City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.53,light rain,-9.8,-139.0333,Villa Enata
6,Bredasdorp,ZA,62.35,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
11,Quartucciu,IT,71.02,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
12,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
14,Hilo,US,75.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
18,Quelimane,MZ,75.31,light rain,-17.8786,36.8883,Hotel Flamingo
23,Nabire,ID,76.44,broken clouds,-3.3667,135.4833,Hotel Nusantara I
24,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
26,Jamestown,US,78.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Dingle,PH,77.14,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
28,Castro,BR,73.45,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
29,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
31,Geraldton,AU,61.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
38,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
39,Chuy,UY,71.53,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
40,Mossendjo,CG,79.48,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
41,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
43,Mar Del Plata,AR,66.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
45,Kaseda,JP,65.62,clear sky,31.4167,130.3167,Sun Stay Kaseda
49,Babol,IR,64.47,overcast clouds,36.5513,52.679,Reza Hotel
52,Guerrero Negro,MX,62.11,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
53,Port Alfred,ZA,62.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
55,Mount Isa,AU,65.97,moderate rain,-20.7333,139.5,ibis Styles Mt Isa Verona
56,Komsomolskiy,UZ,63.32,overcast clouds,40.4272,71.7189,Ikathouse
57,Sao Filipe,CV,75.99,clear sky,14.8961,-24.4956,Hotel Xaguate
58,Sao Sebastiao Do Paraiso,BR,79.32,clear sky,-20.9169,-46.9914,BM Hotel
63,Melfi,IT,68.56,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
68,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Cape Town,ZA,64.35,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
72,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
74,Busselton,AU,63.63,overcast clouds,-33.65,115.3333,Observatory Guest House
75,Weinan,CN,63.5,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
81,Japura,ID,76.32,broken clouds,-0.3167,102.35,Rumah mbah Jamah
83,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
91,Rikitea,PF,73.99,light rain,-23.1203,-134.9692,People ThankYou
95,Poya,NC,70.72,broken clouds,-21.35,165.15,
96,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Shingu,JP,63.66,overcast clouds,33.7333,135.9833,Shingu UI Hotel
103,Katsuura,JP,62.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
106,San Policarpo,PH,77.68,moderate rain,12.1791,125.5072,Agapita M. Nicart
109,Namibe,AO,73.44,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
110,Hermanus,ZA,62.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
118,Cidreira,BR,69.51,clear sky,-30.1811,-50.2056,Hotel Castelo
121,Tautira,PF,79.36,moderate rain,-17.7333,-149.15,Pension Oaoa
125,Kieta,PG,78.71,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
126,Waling,NP,75.51,clear sky,27.9833,83.7667,Venus Hotel
130,Vao,NC,73.98,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
138,Lata,PT,66.07,overcast clouds,40.1629,-8.3327,Casa Maquia
139,Ambilobe,MG,79.03,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
144,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
146,Butaritari,KI,79.72,light rain,3.0707,172.7902,Isles Sunset Lodge
148,Port Lincoln,AU,66.15,light rain,-34.7333,135.8667,Port Lincoln Hotel
158,Kiboga,UG,67.15,overcast clouds,0.9161,31.7742,Marie Lustenberger Guest House
159,Lingao,CN,78.66,few clouds,19.9103,109.6859,Lingao Ditai Inn
160,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
161,Jinsha,CN,64.98,overcast clouds,32.0898,121.0735,Cosmic Guangdong International Hotel
162,Praia Da Vitoria,PT,66.45,scattered clouds,38.7333,-27.0667,Hotel Branco I
169,Yulara,AU,61.47,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
170,Necochea,AR,70.57,clear sky,-38.5473,-58.7368,dyd -mar Hotel
172,Broken Hill,AU,65.1,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
173,Los Llanos De Aridane,ES,65.95,broken clouds,28.6585,-17.9182,Valle Aridane
174,Ayr,GB,60.51,few clouds,55.4627,-4.6339,Mercure Ayr Hotel
180,Seoul,KR,61.99,mist,37.5683,126.9778,롯데호텔 서울
182,Algiers,DZ,64.22,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
183,Hazorasp,UZ,66.04,clear sky,41.3194,61.0742,Kemping wifi hotel
186,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
187,Tomatlan,MX,77.63,clear sky,19.9333,-105.25,El Salvial
188,Saravan,AM,60.22,overcast clouds,39.7196,45.6483,
193,Camacupa,AO,74.59,broken clouds,-12.0167,17.4833,
200,Nichinan,JP,65.16,broken clouds,31.6,131.3667,Guest House Aki
202,Wrexham,GB,63.03,few clouds,53.0,-3.0,"Wynnstay Arms, Ruabon"
205,Bambanglipuro,ID,77.49,light rain,-7.95,110.2833,Puri Brata
211,Port Elizabeth,ZA,62.1,clear sky,-33.918,25.5701,39 On Nile Guest House
212,Ahipara,NZ,61.57,light rain,-35.1667,173.1667,Ahipara Holiday Park
216,Tuy Hoa,VN,77.72,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
218,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
223,Le Port,RE,77.0,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
226,Atambua,ID,71.6,few clouds,-9.1061,124.8925,Kost Alfa Flat
233,Nukus,UZ,66.18,clear sky,42.4531,59.6103,Hotel Jipek Joli
234,Beloha,MG,78.06,light rain,-25.1667,45.05,
235,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
236,Tacuarembo,UY,73.2,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
238,Maldonado,UY,72.79,clear sky,-34.6667,-54.9167,La Cimarrona
239,Shitanjing,CN,62.17,clear sky,39.2342,106.3439,Yingbin Hotel
247,Barcelona,ES,74.44,few clouds,41.3888,2.159,Axel Hotel Barcelona
249,Bryanka,UA,63.75,overcast clouds,48.511,38.6722,
250,Jorochito,BO,79.12,scattered clouds,-18.05,-63.4333,Tom´s Hauss
252,Bethel,US,63.36,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
253,Quang Ngai,VN,77.52,overcast clouds,15.1167,108.8,Central Hotel
255,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,hotel la terminal
256,Montijo,PT,67.68,scattered clouds,38.7067,-8.9739,TRYP by Wyndham Montijo Parque Hotel
259,Nusaybin,TR,73.44,overcast clouds,37.0778,41.2178,Aydinlar Hotel
261,Asau,RO,70.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
268,Pokhara,NP,74.08,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
269,Taltal,CL,64.98,clear sky,-25.4,-70.4833,Residencial Karime
270,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
275,Charters Towers,AU,71.15,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
276,Faanui,PF,79.93,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
278,Constantine,DZ,72.81,few clouds,36.365,6.6147,Grand Hotel Cirta
280,Murgab,TM,78.67,clear sky,37.4966,61.9714,
282,Kon Tum,VN,75.11,scattered clouds,14.35,108.0,Hoa đà spa- homestay
287,Cockburn Town,TC,77.34,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
288,Beachwood,US,78.3,few clouds,41.4645,-81.5087,Hampton Inn & Suites Cleveland-Beachwood
290,Yining,CN,72.7,scattered clouds,29.0361,114.5636,Xiushui Hotel
293,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
