City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,78.53,76,27,19.73,light rain
1,Mecca,SA,21.4267,39.8261,91.18,38,12,16.26,few clouds
2,Coari,BR,-4.085,-63.1414,82.89,73,100,3.65,light rain
3,Galle,LK,6.0367,80.217,82.0,77,27,2.48,scattered clouds
4,Taksimo,RU,56.3444,114.8794,24.84,70,87,3.04,overcast clouds
5,Qaanaaq,GL,77.484,-69.3632,5.16,71,18,8.25,few clouds
6,Bredasdorp,ZA,-34.5322,20.0403,62.35,59,37,12.97,scattered clouds
7,Osa,RU,57.2829,55.4567,50.72,72,64,5.06,broken clouds
8,Chapais,CA,49.7834,-74.8492,35.38,66,100,11.97,overcast clouds
9,Tazovskiy,RU,67.4667,78.7,-3.39,100,60,5.37,broken clouds
10,Bhor,IN,18.1667,73.85,87.6,33,38,2.48,scattered clouds
11,Quartucciu,IT,39.2519,9.1794,71.02,44,0,21.99,clear sky
12,East London,ZA,-33.0153,27.9116,63.54,82,0,14.97,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,2.3,broken clouds
14,Hilo,US,19.7297,-155.09,75.27,94,100,4.61,moderate rain
15,Poshekhonye,RU,58.4993,39.1353,50.31,79,100,7.56,light rain
16,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,92.93,33,0,7.38,clear sky
17,Ushuaia,AR,-54.8,-68.3,42.46,70,40,0.0,scattered clouds
18,Quelimane,MZ,-17.8786,36.8883,75.31,95,10,5.37,light rain
19,Saint George,US,37.1041,-113.5841,56.43,33,0,3.44,clear sky
20,Santa Rosa,PH,14.3122,121.1114,85.1,77,78,9.06,broken clouds
21,Albany,US,42.6001,-73.9662,58.64,41,93,5.01,overcast clouds
22,Hambantota,LK,6.1241,81.1185,82.24,77,26,5.39,scattered clouds
23,Nabire,ID,-3.3667,135.4833,76.44,91,80,2.64,broken clouds
24,Vaini,TO,-21.2,-175.2,69.96,100,75,0.0,broken clouds
25,Narsaq,GL,60.9167,-46.05,48.42,78,76,4.12,broken clouds
26,Jamestown,US,42.097,-79.2353,78.06,39,0,16.11,clear sky
27,Dingle,PH,10.9995,122.6711,77.14,89,93,6.98,overcast clouds
28,Castro,BR,-24.7911,-50.0119,73.45,66,44,2.64,scattered clouds
29,Kahului,US,20.8947,-156.47,73.85,79,0,16.11,clear sky
30,Palauig,PH,15.435,119.9045,83.12,73,12,4.52,few clouds
31,Geraldton,AU,-28.7667,114.6,61.21,72,97,0.0,overcast clouds
32,Grindavik,IS,63.8424,-22.4338,45.07,76,100,8.05,overcast clouds
33,Port Blair,IN,11.6667,92.75,82.44,78,20,2.3,mist
34,Dikson,RU,73.5069,80.5464,9.57,94,99,11.41,overcast clouds
35,Saskylakh,RU,71.9167,114.0833,-5.35,100,25,2.89,scattered clouds
36,Jumla,NP,29.2747,82.1838,51.26,31,7,5.14,clear sky
