City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2022-04-23 18:42:46,62.456,-114.3525,23.56,58,0,10.36
1,Paidha,UG,2022-04-23 18:52:40,2.4167,30.9855,64.17,84,95,3.24
2,Rovinj,HR,2022-04-23 18:52:40,45.08,13.64,60.62,85,100,15.82
3,Punta Arenas,CL,2022-04-23 18:42:51,-53.15,-70.9167,44.71,93,100,12.66
4,Sri Aman,MY,2022-04-23 18:52:40,1.2376,111.4621,77.09,100,41,0.0
5,Kismayo,SO,2022-04-23 18:52:41,-0.3582,42.5454,82.65,77,32,14.97
6,Biak,ID,2022-04-23 18:51:09,-0.9131,122.8766,76.48,84,85,0.65
7,Goderich,CA,2022-04-23 18:52:41,43.7501,-81.7165,59.32,55,49,18.41
8,Veraval,IN,2022-04-23 18:52:41,20.9,70.3667,83.95,56,0,14.09
9,Cabo San Lucas,MX,2022-04-23 18:50:52,22.8909,-109.9124,82.62,65,0,1.01
10,East London,ZA,2022-04-23 18:44:55,-33.0153,27.9116,61.74,100,20,3.44
11,Busselton,AU,2022-04-23 18:52:42,-33.65,115.3333,58.23,75,1,11.14
12,Morro Bay,US,2022-04-23 18:52:43,35.3658,-120.8499,73.99,65,0,7.0
13,Albany,US,2022-04-23 18:50:48,42.6001,-73.9662,58.95,30,100,1.99
14,Mogadishu,SO,2022-04-23 18:52:37,2.0371,45.3438,83.64,72,42,14.45
15,Mandalgovi,MN,2022-04-23 18:52:43,45.7625,106.2708,42.26,38,68,7.54
16,Upernavik,GL,2022-04-23 18:44:48,72.7868,-56.1549,12.88,85,100,10.98
